year,species,species_latin,how_many_counted,total_hours,how_many_counted_by_hour
2017,"Muscovy Duck",Cairina moschata,2,90,0.022222222222222223
2018,"Muscovy Duck",Cairina moschata,0,90.5,0
2019,"Muscovy Duck",Cairina moschata,0,63,0
2010,"Blue-winged Teal",Anas discors,0,69.5,0
2011,"Blue-winged Teal",Anas discors,0,98.05,0
2012,"Blue-winged Teal",Anas discors,0,98.25,0
2013,"Blue-winged Teal",Anas discors,13,126.3,0.10292953285827396
2014,"Blue-winged Teal",Anas discors,2,62.25,0.0321285140562249
2015,"Blue-winged Teal",Anas discors,5,91,0.054945054945054944
2016,"Blue-winged Teal",Anas discors,0,90.8,0
2017,"Blue-winged Teal",Anas discors,0,90,0
2018,"Blue-winged Teal",Anas discors,5,90.5,0.055248618784530384
2019,"Blue-winged Teal",Anas discors,6,63,0.09523809523809523
2010,"Northern Shoveler",Anas clypeata,0,69.5,0
2011,"Northern Shoveler",Anas clypeata,0,98.05,0
2012,"Northern Shoveler",Anas clypeata,1,98.25,0.010178117048346057
2013,"Northern Shoveler",Anas clypeata,0,126.3,0
2014,"Northern Shoveler",Anas clypeata,0,62.25,0
2015,"Northern Shoveler",Anas clypeata,0,91,0
2016,"Northern Shoveler",Anas clypeata,0,90.8,0
2017,"Northern Shoveler",Anas clypeata,0,90,0
2018,"Northern Shoveler",Anas clypeata,0,90.5,0
2019,"Northern Shoveler",Anas clypeata,0,63,0
2010,"Plain Chachalaca",Ortalis vetula,1,69.5,0.014388489208633094
2011,"Plain Chachalaca",Ortalis vetula,4,98.05,0.0407955124936257
2012,"Plain Chachalaca",Ortalis vetula,0,98.25,0
2013,"Plain Chachalaca",Ortalis vetula,0,126.3,0
2014,"Plain Chachalaca",Ortalis vetula,0,62.25,0
2015,"Plain Chachalaca",Ortalis vetula,0,91,0
2016,"Plain Chachalaca",Ortalis vetula,0,90.8,0
2017,"Plain Chachalaca",Ortalis vetula,0,90,0
2018,"Plain Chachalaca",Ortalis vetula,0,90.5,0
2019,"Plain Chachalaca",Ortalis vetula,0,63,0
2010,"Crested Guan",Penelope purpurascens,24,69.5,0.34532374100719426
2011,"Crested Guan",Penelope purpurascens,33,98.05,0.33656297807241203
2012,"Crested Guan",Penelope purpurascens,43,98.25,0.43765903307888043
2013,"Crested Guan",Penelope purpurascens,35,126.3,0.2771179730799683
2014,"Crested Guan",Penelope purpurascens,31,62.25,0.4979919678714859
2015,"Crested Guan",Penelope purpurascens,29,91,0.31868131868131866
2016,"Crested Guan",Penelope purpurascens,17,90.8,0.18722466960352424
2017,"Crested Guan",Penelope purpurascens,27,90,0.3
2018,"Crested Guan",Penelope purpurascens,27,90.5,0.2983425414364641
2019,"Crested Guan",Penelope purpurascens,36,63,0.5714285714285714
2010,"Great Curassow",Crax rubra,3,69.5,0.04316546762589928
2011,"Great Curassow",Crax rubra,13,98.05,0.13258541560428352
2012,"Great Curassow",Crax rubra,20,98.25,0.2035623409669211
2013,"Great Curassow",Crax rubra,34,126.3,0.26920031670625494
2014,"Great Curassow",Crax rubra,18,62.25,0.2891566265060241
2015,"Great Curassow",Crax rubra,22,91,0.24175824175824176
2016,"Great Curassow",Crax rubra,10,90.8,0.11013215859030838
2017,"Great Curassow",Crax rubra,15,90,0.16666666666666666
2018,"Great Curassow",Crax rubra,24,90.5,0.26519337016574585
2019,"Great Curassow",Crax rubra,22,63,0.3492063492063492
2010,"Crested Bobwhite",Colinus cristatus,0,69.5,0
2011,"Crested Bobwhite",Colinus cristatus,1,98.05,0.010198878123406425
2012,"Crested Bobwhite",Colinus cristatus,1,98.25,0.010178117048346057
2013,"Crested Bobwhite",Colinus cristatus,0,126.3,0
2014,"Crested Bobwhite",Colinus cristatus,0,62.25,0
2015,"Crested Bobwhite",Colinus cristatus,4,91,0.04395604395604396
2016,"Crested Bobwhite",Colinus cristatus,0,90.8,0
2017,"Crested Bobwhite",Colinus cristatus,3,90,0.03333333333333333
2018,"Crested Bobwhite",Colinus cristatus,0,90.5,0
2019,"Crested Bobwhite",Colinus cristatus,8,63,0.12698412698412698
2010,"Least Grebe",Tachybaptus dominicus,0,69.5,0
2011,"Least Grebe",Tachybaptus dominicus,0,98.05,0
2012,"Least Grebe",Tachybaptus dominicus,0,98.25,0
2013,"Least Grebe",Tachybaptus dominicus,2,126.3,0.015835312747426764
2014,"Least Grebe",Tachybaptus dominicus,1,62.25,0.01606425702811245
2015,"Least Grebe",Tachybaptus dominicus,0,91,0
2016,"Least Grebe",Tachybaptus dominicus,0,90.8,0
2017,"Least Grebe",Tachybaptus dominicus,3,90,0.03333333333333333
2018,"Least Grebe",Tachybaptus dominicus,4,90.5,0.04419889502762431
2019,"Least Grebe",Tachybaptus dominicus,2,63,0.031746031746031744
2010,"Wood Stork",Mycteria americana,132,69.5,1.8992805755395683
2011,"Wood Stork",Mycteria americana,16,98.05,0.1631820499745028
2012,"Wood Stork",Mycteria americana,21,98.25,0.21374045801526717
2013,"Wood Stork",Mycteria americana,3,126.3,0.023752969121140142
2014,"Wood Stork",Mycteria americana,17,62.25,0.27309236947791166
2015,"Wood Stork",Mycteria americana,27,91,0.2967032967032967
2016,"Wood Stork",Mycteria americana,4,90.8,0.04405286343612335
2017,"Wood Stork",Mycteria americana,20,90,0.2222222222222222
2018,"Wood Stork",Mycteria americana,11,90.5,0.12154696132596685
2019,"Wood Stork",Mycteria americana,3,63,0.047619047619047616
2010,"Magnificent Frigatebird",Fregata magnificens,46,69.5,0.6618705035971223
2011,"Magnificent Frigatebird",Fregata magnificens,92,98.05,0.9382967873533912
2012,"Magnificent Frigatebird",Fregata magnificens,128,98.25,1.3027989821882953
2013,"Magnificent Frigatebird",Fregata magnificens,110,126.3,0.8709422011084719
2014,"Magnificent Frigatebird",Fregata magnificens,154,62.25,2.4738955823293174
2015,"Magnificent Frigatebird",Fregata magnificens,46,91,0.5054945054945055
2016,"Magnificent Frigatebird",Fregata magnificens,211,90.8,2.3237885462555066
2017,"Magnificent Frigatebird",Fregata magnificens,94,90,1.0444444444444445
2018,"Magnificent Frigatebird",Fregata magnificens,155,90.5,1.712707182320442
2019,"Magnificent Frigatebird",Fregata magnificens,100,63,1.5873015873015872
2010,"Masked Booby",Sula dactylatra,0,69.5,0
2011,"Masked Booby",Sula dactylatra,0,98.05,0
2012,"Masked Booby",Sula dactylatra,0,98.25,0
2013,"Masked Booby",Sula dactylatra,0,126.3,0
2014,"Masked Booby",Sula dactylatra,1,62.25,0.01606425702811245
2015,"Masked Booby",Sula dactylatra,0,91,0
2016,"Masked Booby",Sula dactylatra,0,90.8,0
2017,"Masked Booby",Sula dactylatra,0,90,0
2018,"Masked Booby",Sula dactylatra,0,90.5,0
2019,"Masked Booby",Sula dactylatra,0,63,0
2010,"Blue-footed Booby",Sula nebouxii,0,69.5,0
2011,"Blue-footed Booby",Sula nebouxii,0,98.05,0
2012,"Blue-footed Booby",Sula nebouxii,0,98.25,0
2013,"Blue-footed Booby",Sula nebouxii,0,126.3,0
2014,"Blue-footed Booby",Sula nebouxii,4,62.25,0.0642570281124498
2015,"Blue-footed Booby",Sula nebouxii,0,91,0
2016,"Blue-footed Booby",Sula nebouxii,0,90.8,0
2017,"Blue-footed Booby",Sula nebouxii,0,90,0
2018,"Blue-footed Booby",Sula nebouxii,0,90.5,0
2019,"Blue-footed Booby",Sula nebouxii,0,63,0
2010,"Brown Booby",Sula leucogaster,4,69.5,0.05755395683453238
2011,"Brown Booby",Sula leucogaster,6,98.05,0.06119326874043855
2012,"Brown Booby",Sula leucogaster,30,98.25,0.3053435114503817
2013,"Brown Booby",Sula leucogaster,34,126.3,0.26920031670625494
2014,"Brown Booby",Sula leucogaster,13,62.25,0.20883534136546184
2015,"Brown Booby",Sula leucogaster,1,91,0.01098901098901099
2016,"Brown Booby",Sula leucogaster,1,90.8,0.011013215859030838
2017,"Brown Booby",Sula leucogaster,10,90,0.1111111111111111
2018,"Brown Booby",Sula leucogaster,1,90.5,0.011049723756906077
2019,"Brown Booby",Sula leucogaster,0,63,0
2010,"Neotropic Cormorant",Phalacrocorax brasilianus,1,69.5,0.014388489208633094
2011,"Neotropic Cormorant",Phalacrocorax brasilianus,17,98.05,0.17338092809790923
2012,"Neotropic Cormorant",Phalacrocorax brasilianus,3,98.25,0.030534351145038167
2013,"Neotropic Cormorant",Phalacrocorax brasilianus,13,126.3,0.10292953285827396
2014,"Neotropic Cormorant",Phalacrocorax brasilianus,6,62.25,0.0963855421686747
2015,"Neotropic Cormorant",Phalacrocorax brasilianus,4,91,0.04395604395604396
2016,"Neotropic Cormorant",Phalacrocorax brasilianus,1,90.8,0.011013215859030838
2017,"Neotropic Cormorant",Phalacrocorax brasilianus,2,90,0.022222222222222223
2018,"Neotropic Cormorant",Phalacrocorax brasilianus,3,90.5,0.03314917127071823
2019,"Neotropic Cormorant",Phalacrocorax brasilianus,5,63,0.07936507936507936
2010,"Anhinga",Anhinga anhinga,0,69.5,0
2011,"Anhinga",Anhinga anhinga,2,98.05,0.02039775624681285
2012,"Anhinga",Anhinga anhinga,0,98.25,0
2013,"Anhinga",Anhinga anhinga,0,126.3,0
2014,"Anhinga",Anhinga anhinga,1,62.25,0.01606425702811245
2015,"Anhinga",Anhinga anhinga,0,91,0
2016,"Anhinga",Anhinga anhinga,0,90.8,0
2017,"Anhinga",Anhinga anhinga,0,90,0
2018,"Anhinga",Anhinga anhinga,0,90.5,0
2019,"Anhinga",Anhinga anhinga,0,63,0
2010,"Brown Pelican",Pelecanus occidentalis,15,69.5,0.2158273381294964
2011,"Brown Pelican",Pelecanus occidentalis,73,98.05,0.744518103008669
2012,"Brown Pelican",Pelecanus occidentalis,305,98.25,3.104325699745547
2013,"Brown Pelican",Pelecanus occidentalis,222,126.3,1.7577197149643706
2014,"Brown Pelican",Pelecanus occidentalis,261,62.25,4.192771084337349
2015,"Brown Pelican",Pelecanus occidentalis,64,91,0.7032967032967034
2016,"Brown Pelican",Pelecanus occidentalis,63,90.8,0.6938325991189428
2017,"Brown Pelican",Pelecanus occidentalis,38,90,0.4222222222222222
2018,"Brown Pelican",Pelecanus occidentalis,234,90.5,2.585635359116022
2019,"Brown Pelican",Pelecanus occidentalis,127,63,2.015873015873016
2010,"Fasciated Tiger-Heron",Tigrisoma fasciatum,2,69.5,0.02877697841726619
2011,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,98.05,0
2012,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,98.25,0
2013,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,126.3,0
2014,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,62.25,0
2015,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,91,0
2016,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,90.8,0
2017,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,90,0
2018,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,90.5,0
2019,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,63,0
2010,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,10,69.5,0.14388489208633093
2011,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,8,98.05,0.0815910249872514
2012,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,10,98.25,0.10178117048346055
2013,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,3,126.3,0.023752969121140142
2014,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,8,62.25,0.1285140562248996
2015,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,8,91,0.08791208791208792
2016,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,5,90.8,0.05506607929515419
2017,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,6,90,0.06666666666666667
2018,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,8,90.5,0.08839779005524862
2019,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,7,63,0.1111111111111111
2010,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,3,69.5,0.04316546762589928
2011,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,5,98.05,0.05099439061703213
2012,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,10,98.25,0.10178117048346055
2013,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,5,126.3,0.0395882818685669
2014,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,10,62.25,0.1606425702811245
2015,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,2,91,0.02197802197802198
2016,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,8,90.8,0.0881057268722467
2017,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,5,90,0.05555555555555555
2018,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,4,90.5,0.04419889502762431
2019,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,1,63,0.015873015873015872
2010,"Great Egret",Ardea alba,17,69.5,0.2446043165467626
2011,"Great Egret",Ardea alba,13,98.05,0.13258541560428352
2012,"Great Egret",Ardea alba,18,98.25,0.183206106870229
2013,"Great Egret",Ardea alba,5,126.3,0.0395882818685669
2014,"Great Egret",Ardea alba,17,62.25,0.27309236947791166
2015,"Great Egret",Ardea alba,7,91,0.07692307692307693
2016,"Great Egret",Ardea alba,5,90.8,0.05506607929515419
2017,"Great Egret",Ardea alba,8,90,0.08888888888888889
2018,"Great Egret",Ardea alba,5,90.5,0.055248618784530384
2019,"Great Egret",Ardea alba,10,63,0.15873015873015872
2010,"Snowy Egret",Egretta thula,12,69.5,0.17266187050359713
2011,"Snowy Egret",Egretta thula,10,98.05,0.10198878123406425
2012,"Snowy Egret",Egretta thula,29,98.25,0.2951653944020356
2013,"Snowy Egret",Egretta thula,16,126.3,0.1266825019794141
2014,"Snowy Egret",Egretta thula,35,62.25,0.5622489959839357
2015,"Snowy Egret",Egretta thula,13,91,0.14285714285714285
2016,"Snowy Egret",Egretta thula,7,90.8,0.07709251101321586
2017,"Snowy Egret",Egretta thula,20,90,0.2222222222222222
2018,"Snowy Egret",Egretta thula,32,90.5,0.35359116022099446
2019,"Snowy Egret",Egretta thula,14,63,0.2222222222222222
2010,"Little Blue Heron",Egretta caerulea,11,69.5,0.15827338129496402
2011,"Little Blue Heron",Egretta caerulea,10,98.05,0.10198878123406425
2012,"Little Blue Heron",Egretta caerulea,24,98.25,0.24427480916030533
2013,"Little Blue Heron",Egretta caerulea,13,126.3,0.10292953285827396
2014,"Little Blue Heron",Egretta caerulea,45,62.25,0.7228915662650602
2015,"Little Blue Heron",Egretta caerulea,7,91,0.07692307692307693
2016,"Little Blue Heron",Egretta caerulea,21,90.8,0.2312775330396476
2017,"Little Blue Heron",Egretta caerulea,15,90,0.16666666666666666
2018,"Little Blue Heron",Egretta caerulea,36,90.5,0.39779005524861877
2019,"Little Blue Heron",Egretta caerulea,15,63,0.23809523809523808
2010,"Tricolored Heron",Egretta tricolor,2,69.5,0.02877697841726619
2011,"Tricolored Heron",Egretta tricolor,2,98.05,0.02039775624681285
2012,"Tricolored Heron",Egretta tricolor,12,98.25,0.12213740458015267
2013,"Tricolored Heron",Egretta tricolor,2,126.3,0.015835312747426764
2014,"Tricolored Heron",Egretta tricolor,23,62.25,0.36947791164658633
2015,"Tricolored Heron",Egretta tricolor,4,91,0.04395604395604396
2016,"Tricolored Heron",Egretta tricolor,4,90.8,0.04405286343612335
2017,"Tricolored Heron",Egretta tricolor,3,90,0.03333333333333333
2018,"Tricolored Heron",Egretta tricolor,10,90.5,0.11049723756906077
2019,"Tricolored Heron",Egretta tricolor,7,63,0.1111111111111111
2010,"Reddish Egret",Egretta rufescens,0,69.5,0
2011,"Reddish Egret",Egretta rufescens,0,98.05,0
2012,"Reddish Egret",Egretta rufescens,0,98.25,0
2013,"Reddish Egret",Egretta rufescens,0,126.3,0
2014,"Reddish Egret",Egretta rufescens,0,62.25,0
2015,"Reddish Egret",Egretta rufescens,1,91,0.01098901098901099
2016,"Reddish Egret",Egretta rufescens,0,90.8,0
2017,"Reddish Egret",Egretta rufescens,0,90,0
2018,"Reddish Egret",Egretta rufescens,1,90.5,0.011049723756906077
2019,"Reddish Egret",Egretta rufescens,0,63,0
2010,"Cattle Egret",Bubulcus ibis,15,69.5,0.2158273381294964
2011,"Cattle Egret",Bubulcus ibis,33,98.05,0.33656297807241203
2012,"Cattle Egret",Bubulcus ibis,18,98.25,0.183206106870229
2013,"Cattle Egret",Bubulcus ibis,20,126.3,0.1583531274742676
2014,"Cattle Egret",Bubulcus ibis,44,62.25,0.7068273092369478
2015,"Cattle Egret",Bubulcus ibis,34,91,0.37362637362637363
2016,"Cattle Egret",Bubulcus ibis,40,90.8,0.4405286343612335
2017,"Cattle Egret",Bubulcus ibis,51,90,0.5666666666666667
2018,"Cattle Egret",Bubulcus ibis,49,90.5,0.5414364640883977
2019,"Cattle Egret",Bubulcus ibis,106,63,1.6825396825396826
2010,"Green Heron",Butorides virescens,7,69.5,0.10071942446043165
2011,"Green Heron",Butorides virescens,7,98.05,0.07139214686384499
2012,"Green Heron",Butorides virescens,4,98.25,0.04071246819338423
2013,"Green Heron",Butorides virescens,2,126.3,0.015835312747426764
2014,"Green Heron",Butorides virescens,4,62.25,0.0642570281124498
2015,"Green Heron",Butorides virescens,4,91,0.04395604395604396
2016,"Green Heron",Butorides virescens,4,90.8,0.04405286343612335
2017,"Green Heron",Butorides virescens,5,90,0.05555555555555555
2018,"Green Heron",Butorides virescens,7,90.5,0.07734806629834254
2019,"Green Heron",Butorides virescens,4,63,0.06349206349206349
2010,"Black-crowned Night-Heron",Nycticorax nycticorax,0,69.5,0
2011,"Black-crowned Night-Heron",Nycticorax nycticorax,0,98.05,0
2012,"Black-crowned Night-Heron",Nycticorax nycticorax,0,98.25,0
2013,"Black-crowned Night-Heron",Nycticorax nycticorax,1,126.3,0.007917656373713382
2014,"Black-crowned Night-Heron",Nycticorax nycticorax,1,62.25,0.01606425702811245
2015,"Black-crowned Night-Heron",Nycticorax nycticorax,0,91,0
2016,"Black-crowned Night-Heron",Nycticorax nycticorax,2,90.8,0.022026431718061675
2017,"Black-crowned Night-Heron",Nycticorax nycticorax,0,90,0
2018,"Black-crowned Night-Heron",Nycticorax nycticorax,1,90.5,0.011049723756906077
2019,"Black-crowned Night-Heron",Nycticorax nycticorax,3,63,0.047619047619047616
2010,"Yellow-crowned Night-Heron",Nyctanassa violacea,0,69.5,0
2011,"Yellow-crowned Night-Heron",Nyctanassa violacea,1,98.05,0.010198878123406425
2012,"Yellow-crowned Night-Heron",Nyctanassa violacea,1,98.25,0.010178117048346057
2013,"Yellow-crowned Night-Heron",Nyctanassa violacea,4,126.3,0.03167062549485353
2014,"Yellow-crowned Night-Heron",Nyctanassa violacea,5,62.25,0.08032128514056225
2015,"Yellow-crowned Night-Heron",Nyctanassa violacea,4,91,0.04395604395604396
2016,"Yellow-crowned Night-Heron",Nyctanassa violacea,5,90.8,0.05506607929515419
2017,"Yellow-crowned Night-Heron",Nyctanassa violacea,2,90,0.022222222222222223
2018,"Yellow-crowned Night-Heron",Nyctanassa violacea,3,90.5,0.03314917127071823
2019,"Yellow-crowned Night-Heron",Nyctanassa violacea,2,63,0.031746031746031744
2010,"Boat-billed Heron",Cochlearius cochlearius,1,69.5,0.014388489208633094
2011,"Boat-billed Heron",Cochlearius cochlearius,2,98.05,0.02039775624681285
2012,"Boat-billed Heron",Cochlearius cochlearius,11,98.25,0.11195928753180662
2013,"Boat-billed Heron",Cochlearius cochlearius,11,126.3,0.08709422011084719
2014,"Boat-billed Heron",Cochlearius cochlearius,8,62.25,0.1285140562248996
2015,"Boat-billed Heron",Cochlearius cochlearius,8,91,0.08791208791208792
2016,"Boat-billed Heron",Cochlearius cochlearius,5,90.8,0.05506607929515419
2017,"Boat-billed Heron",Cochlearius cochlearius,6,90,0.06666666666666667
2018,"Boat-billed Heron",Cochlearius cochlearius,2,90.5,0.022099447513812154
2019,"Boat-billed Heron",Cochlearius cochlearius,1,63,0.015873015873015872
2010,"White Ibis",Eudocimus albus,30,69.5,0.4316546762589928
2011,"White Ibis",Eudocimus albus,3,98.05,0.030596634370219276
2012,"White Ibis",Eudocimus albus,37,98.25,0.37659033078880405
2013,"White Ibis",Eudocimus albus,24,126.3,0.19002375296912113
2014,"White Ibis",Eudocimus albus,30,62.25,0.4819277108433735
2015,"White Ibis",Eudocimus albus,23,91,0.25274725274725274
2016,"White Ibis",Eudocimus albus,25,90.8,0.27533039647577096
2017,"White Ibis",Eudocimus albus,53,90,0.5888888888888889
2018,"White Ibis",Eudocimus albus,23,90.5,0.2541436464088398
2019,"White Ibis",Eudocimus albus,16,63,0.25396825396825395
2010,"Roseate Spoonbill",Platalea ajaja,11,69.5,0.15827338129496402
2011,"Roseate Spoonbill",Platalea ajaja,5,98.05,0.05099439061703213
2012,"Roseate Spoonbill",Platalea ajaja,11,98.25,0.11195928753180662
2013,"Roseate Spoonbill",Platalea ajaja,0,126.3,0
2014,"Roseate Spoonbill",Platalea ajaja,0,62.25,0
2015,"Roseate Spoonbill",Platalea ajaja,1,91,0.01098901098901099
2016,"Roseate Spoonbill",Platalea ajaja,0,90.8,0
2017,"Roseate Spoonbill",Platalea ajaja,3,90,0.03333333333333333
2018,"Roseate Spoonbill",Platalea ajaja,1,90.5,0.011049723756906077
2019,"Roseate Spoonbill",Platalea ajaja,1,63,0.015873015873015872
2010,"Black Vulture",Coragyps atratus,72,69.5,1.0359712230215827
2011,"Black Vulture",Coragyps atratus,90,98.05,0.9178990311065783
2012,"Black Vulture",Coragyps atratus,88,98.25,0.8956743002544529
2013,"Black Vulture",Coragyps atratus,102,126.3,0.8076009501187649
2014,"Black Vulture",Coragyps atratus,88,62.25,1.4136546184738956
2015,"Black Vulture",Coragyps atratus,52,91,0.5714285714285714
2016,"Black Vulture",Coragyps atratus,52,90.8,0.5726872246696035
2017,"Black Vulture",Coragyps atratus,62,90,0.6888888888888889
2018,"Black Vulture",Coragyps atratus,118,90.5,1.3038674033149171
2019,"Black Vulture",Coragyps atratus,115,63,1.8253968253968254
2010,"Turkey Vulture",Cathartes aura,41,69.5,0.5899280575539568
2011,"Turkey Vulture",Cathartes aura,39,98.05,0.3977562468128506
2012,"Turkey Vulture",Cathartes aura,55,98.25,0.5597964376590331
2013,"Turkey Vulture",Cathartes aura,95,126.3,0.7521773555027712
2014,"Turkey Vulture",Cathartes aura,67,62.25,1.0763052208835342
2015,"Turkey Vulture",Cathartes aura,58,91,0.6373626373626373
2016,"Turkey Vulture",Cathartes aura,63,90.8,0.6938325991189428
2017,"Turkey Vulture",Cathartes aura,49,90,0.5444444444444444
2018,"Turkey Vulture",Cathartes aura,54,90.5,0.5966850828729282
2019,"Turkey Vulture",Cathartes aura,45,63,0.7142857142857143
2010,"King Vulture",Sarcoramphus papa,2,69.5,0.02877697841726619
2011,"King Vulture",Sarcoramphus papa,1,98.05,0.010198878123406425
2012,"King Vulture",Sarcoramphus papa,1,98.25,0.010178117048346057
2013,"King Vulture",Sarcoramphus papa,0,126.3,0
2014,"King Vulture",Sarcoramphus papa,0,62.25,0
2015,"King Vulture",Sarcoramphus papa,2,91,0.02197802197802198
2016,"King Vulture",Sarcoramphus papa,1,90.8,0.011013215859030838
2017,"King Vulture",Sarcoramphus papa,1,90,0.011111111111111112
2018,"King Vulture",Sarcoramphus papa,10,90.5,0.11049723756906077
2019,"King Vulture",Sarcoramphus papa,2,63,0.031746031746031744
2010,"Osprey",Pandion haliaetus,3,69.5,0.04316546762589928
2011,"Osprey",Pandion haliaetus,8,98.05,0.0815910249872514
2012,"Osprey",Pandion haliaetus,8,98.25,0.08142493638676845
2013,"Osprey",Pandion haliaetus,12,126.3,0.09501187648456057
2014,"Osprey",Pandion haliaetus,10,62.25,0.1606425702811245
2015,"Osprey",Pandion haliaetus,5,91,0.054945054945054944
2016,"Osprey",Pandion haliaetus,4,90.8,0.04405286343612335
2017,"Osprey",Pandion haliaetus,5,90,0.05555555555555555
2018,"Osprey",Pandion haliaetus,3,90.5,0.03314917127071823
2019,"Osprey",Pandion haliaetus,3,63,0.047619047619047616
2010,"Pearl Kite",Gampsonyx swainsonii,0,69.5,0
2011,"Pearl Kite",Gampsonyx swainsonii,0,98.05,0
2012,"Pearl Kite",Gampsonyx swainsonii,0,98.25,0
2013,"Pearl Kite",Gampsonyx swainsonii,0,126.3,0
2014,"Pearl Kite",Gampsonyx swainsonii,0,62.25,0
2015,"Pearl Kite",Gampsonyx swainsonii,0,91,0
2016,"Pearl Kite",Gampsonyx swainsonii,0,90.8,0
2017,"Pearl Kite",Gampsonyx swainsonii,4,90,0.044444444444444446
2018,"Pearl Kite",Gampsonyx swainsonii,1,90.5,0.011049723756906077
2019,"Pearl Kite",Gampsonyx swainsonii,0,63,0
2010,"White-tailed Kite",Elanus leucurus,0,69.5,0
2011,"White-tailed Kite",Elanus leucurus,0,98.05,0
2012,"White-tailed Kite",Elanus leucurus,3,98.25,0.030534351145038167
2013,"White-tailed Kite",Elanus leucurus,0,126.3,0
2014,"White-tailed Kite",Elanus leucurus,0,62.25,0
2015,"White-tailed Kite",Elanus leucurus,0,91,0
2016,"White-tailed Kite",Elanus leucurus,0,90.8,0
2017,"White-tailed Kite",Elanus leucurus,0,90,0
2018,"White-tailed Kite",Elanus leucurus,2,90.5,0.022099447513812154
2019,"White-tailed Kite",Elanus leucurus,0,63,0
2010,"Hook-billed Kite",Chondrohierax uncinatus,0,69.5,0
2011,"Hook-billed Kite",Chondrohierax uncinatus,0,98.05,0
