year,species,species_latin,how_many_counted,total_hours,how_many_counted_by_hour
2016,"Wood Stork",Mycteria americana,4,90.8,0.044052863
2017,"Wood Stork",Mycteria americana,20,90,0.222222222
2018,"Wood Stork",Mycteria americana,11,90.5,0.121546961
2010,"Magnificent Frigatebird",Fregata magnificens,46,69.5,0.661870504
2011,"Magnificent Frigatebird",Fregata magnificens,92,98.05,0.938296787
2012,"Magnificent Frigatebird",Fregata magnificens,128,98.25,1.302798982
2013,"Magnificent Frigatebird",Fregata magnificens,110,126.3,0.870942201
2014,"Magnificent Frigatebird",Fregata magnificens,154,62.25,2.473895582
2015,"Magnificent Frigatebird",Fregata magnificens,46,91,0.505494505
2016,"Magnificent Frigatebird",Fregata magnificens,211,90.8,2.323788546
2017,"Magnificent Frigatebird",Fregata magnificens,94,90,1.044444444
2018,"Magnificent Frigatebird",Fregata magnificens,155,90.5,1.712707182
2010,"Masked Booby",Sula dactylatra,0,69.5,0
2011,"Masked Booby",Sula dactylatra,0,98.05,0
2012,"Masked Booby",Sula dactylatra,0,98.25,0
2013,"Masked Booby",Sula dactylatra,0,126.3,0
2014,"Masked Booby",Sula dactylatra,1,62.25,0.016064257
2015,"Masked Booby",Sula dactylatra,0,91,0
2016,"Masked Booby",Sula dactylatra,0,90.8,0
2017,"Masked Booby",Sula dactylatra,0,90,0
2018,"Masked Booby",Sula dactylatra,0,90.5,0
2010,"Blue-footed Booby",Sula nebouxii,0,69.5,0
2011,"Blue-footed Booby",Sula nebouxii,0,98.05,0
2012,"Blue-footed Booby",Sula nebouxii,0,98.25,0
2013,"Blue-footed Booby",Sula nebouxii,0,126.3,0
2014,"Blue-footed Booby",Sula nebouxii,4,62.25,0.064257028
2015,"Blue-footed Booby",Sula nebouxii,0,91,0
2016,"Blue-footed Booby",Sula nebouxii,0,90.8,0
2017,"Blue-footed Booby",Sula nebouxii,0,90,0
2018,"Blue-footed Booby",Sula nebouxii,0,90.5,0
2010,"Brown Booby",Sula leucogaster,4,69.5,0.057553957
2011,"Brown Booby",Sula leucogaster,6,98.05,0.061193269
2012,"Brown Booby",Sula leucogaster,30,98.25,0.305343511
2013,"Brown Booby",Sula leucogaster,34,126.3,0.269200317
2014,"Brown Booby",Sula leucogaster,13,62.25,0.208835341
2015,"Brown Booby",Sula leucogaster,1,91,0.010989011
2016,"Brown Booby",Sula leucogaster,1,90.8,0.011013216
2017,"Brown Booby",Sula leucogaster,10,90,0.111111111
2018,"Brown Booby",Sula leucogaster,1,90.5,0.011049724
2010,"Neotropic Cormorant",Phalacrocorax brasilianus,1,69.5,0.014388489
2011,"Neotropic Cormorant",Phalacrocorax brasilianus,17,98.05,0.173380928
2012,"Neotropic Cormorant",Phalacrocorax brasilianus,3,98.25,0.030534351
2013,"Neotropic Cormorant",Phalacrocorax brasilianus,13,126.3,0.102929533
2014,"Neotropic Cormorant",Phalacrocorax brasilianus,6,62.25,0.096385542
2015,"Neotropic Cormorant",Phalacrocorax brasilianus,4,91,0.043956044
2016,"Neotropic Cormorant",Phalacrocorax brasilianus,1,90.8,0.011013216
2017,"Neotropic Cormorant",Phalacrocorax brasilianus,2,90,0.022222222
2018,"Neotropic Cormorant",Phalacrocorax brasilianus,3,90.5,0.033149171
2010,"Anhinga",Anhinga anhinga,0,69.5,0
2011,"Anhinga",Anhinga anhinga,2,98.05,0.020397756
2012,"Anhinga",Anhinga anhinga,0,98.25,0
2013,"Anhinga",Anhinga anhinga,0,126.3,0
2014,"Anhinga",Anhinga anhinga,1,62.25,0.016064257
2015,"Anhinga",Anhinga anhinga,0,91,0
2016,"Anhinga",Anhinga anhinga,0,90.8,0
2017,"Anhinga",Anhinga anhinga,0,90,0
2018,"Anhinga",Anhinga anhinga,0,90.5,0
2010,"Brown Pelican",Pelecanus occidentalis,15,69.5,0.215827338
2011,"Brown Pelican",Pelecanus occidentalis,73,98.05,0.744518103
2012,"Brown Pelican",Pelecanus occidentalis,305,98.25,3.1043257
2013,"Brown Pelican",Pelecanus occidentalis,222,126.3,1.757719715
2014,"Brown Pelican",Pelecanus occidentalis,261,62.25,4.192771084
2015,"Brown Pelican",Pelecanus occidentalis,64,91,0.703296703
2016,"Brown Pelican",Pelecanus occidentalis,63,90.8,0.693832599
2017,"Brown Pelican",Pelecanus occidentalis,38,90,0.422222222
2018,"Brown Pelican",Pelecanus occidentalis,234,90.5,2.585635359
2010,"Fasciated Tiger-Heron",Tigrisoma fasciatum,2,69.5,0.028776978
2011,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,98.05,0
2012,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,98.25,0
2013,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,126.3,0
2014,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,62.25,0
2015,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,91,0
2016,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,90.8,0
2017,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,90,0
2018,"Fasciated Tiger-Heron",Tigrisoma fasciatum,0,90.5,0
2010,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,10,69.5,0.143884892
2011,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,8,98.05,0.081591025
2012,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,10,98.25,0.10178117
2013,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,3,126.3,0.023752969
2014,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,8,62.25,0.128514056
2015,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,8,91,0.087912088
2016,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,5,90.8,0.055066079
2017,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,6,90,0.066666667
2018,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,8,90.5,0.08839779
2010,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,3,69.5,0.043165468
2011,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,5,98.05,0.050994391
2012,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,10,98.25,0.10178117
2013,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,5,126.3,0.039588282
2014,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,10,62.25,0.16064257
2015,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,2,91,0.021978022
2016,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,8,90.8,0.088105727
2017,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,5,90,0.055555556
2018,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,4,90.5,0.044198895
2010,"Great Egret",Ardea alba,17,69.5,0.244604317
2011,"Great Egret",Ardea alba,13,98.05,0.132585416
2012,"Great Egret",Ardea alba,18,98.25,0.183206107
2013,"Great Egret",Ardea alba,5,126.3,0.039588282
2014,"Great Egret",Ardea alba,17,62.25,0.273092369
2015,"Great Egret",Ardea alba,7,91,0.076923077
2016,"Great Egret",Ardea alba,5,90.8,0.055066079
2017,"Great Egret",Ardea alba,8,90,0.088888889
2018,"Great Egret",Ardea alba,5,90.5,0.055248619
2010,"Snowy Egret",Egretta thula,12,69.5,0.172661871
2011,"Snowy Egret",Egretta thula,10,98.05,0.101988781
2012,"Snowy Egret",Egretta thula,29,98.25,0.295165394
2013,"Snowy Egret",Egretta thula,16,126.3,0.126682502
2014,"Snowy Egret",Egretta thula,35,62.25,0.562248996
2015,"Snowy Egret",Egretta thula,13,91,0.142857143
2016,"Snowy Egret",Egretta thula,7,90.8,0.077092511
2017,"Snowy Egret",Egretta thula,20,90,0.222222222
2018,"Snowy Egret",Egretta thula,32,90.5,0.35359116
2010,"Little Blue Heron",Egretta caerulea,11,69.5,0.158273381
2011,"Little Blue Heron",Egretta caerulea,10,98.05,0.101988781
2012,"Little Blue Heron",Egretta caerulea,24,98.25,0.244274809
2013,"Little Blue Heron",Egretta caerulea,13,126.3,0.102929533
2014,"Little Blue Heron",Egretta caerulea,45,62.25,0.722891566
2015,"Little Blue Heron",Egretta caerulea,7,91,0.076923077
2016,"Little Blue Heron",Egretta caerulea,21,90.8,0.231277533
2017,"Little Blue Heron",Egretta caerulea,15,90,0.166666667
2018,"Little Blue Heron",Egretta caerulea,36,90.5,0.397790055
2010,"Tricolored Heron",Egretta tricolor,2,69.5,0.028776978
2011,"Tricolored Heron",Egretta tricolor,2,98.05,0.020397756
2012,"Tricolored Heron",Egretta tricolor,12,98.25,0.122137405
2013,"Tricolored Heron",Egretta tricolor,2,126.3,0.015835313
2014,"Tricolored Heron",Egretta tricolor,23,62.25,0.369477912
2015,"Tricolored Heron",Egretta tricolor,4,91,0.043956044
2016,"Tricolored Heron",Egretta tricolor,4,90.8,0.044052863
2017,"Tricolored Heron",Egretta tricolor,3,90,0.033333333
2018,"Tricolored Heron",Egretta tricolor,10,90.5,0.110497238
2010,"Reddish Egret",Egretta rufescens,0,69.5,0
2011,"Reddish Egret",Egretta rufescens,0,98.05,0
2012,"Reddish Egret",Egretta rufescens,0,98.25,0
2013,"Reddish Egret",Egretta rufescens,0,126.3,0
2014,"Reddish Egret",Egretta rufescens,0,62.25,0
2015,"Reddish Egret",Egretta rufescens,1,91,0.010989011
2016,"Reddish Egret",Egretta rufescens,0,90.8,0
2017,"Reddish Egret",Egretta rufescens,0,90,0
2018,"Reddish Egret",Egretta rufescens,1,90.5,0.011049724
2010,"Cattle Egret",Bubulcus ibis,15,69.5,0.215827338
2011,"Cattle Egret",Bubulcus ibis,33,98.05,0.336562978
2012,"Cattle Egret",Bubulcus ibis,18,98.25,0.183206107
2013,"Cattle Egret",Bubulcus ibis,20,126.3,0.158353127
2014,"Cattle Egret",Bubulcus ibis,44,62.25,0.706827309
2015,"Cattle Egret",Bubulcus ibis,34,91,0.373626374
2016,"Cattle Egret",Bubulcus ibis,40,90.8,0.440528634
2017,"Cattle Egret",Bubulcus ibis,51,90,0.566666667
2018,"Cattle Egret",Bubulcus ibis,49,90.5,0.541436464
2010,"Green Heron",Butorides virescens,7,69.5,0.100719424
2011,"Green Heron",Butorides virescens,7,98.05,0.071392147
2012,"Green Heron",Butorides virescens,4,98.25,0.040712468
2013,"Green Heron",Butorides virescens,2,126.3,0.015835313
2014,"Green Heron",Butorides virescens,4,62.25,0.064257028
2015,"Green Heron",Butorides virescens,4,91,0.043956044
2016,"Green Heron",Butorides virescens,4,90.8,0.044052863
2017,"Green Heron",Butorides virescens,5,90,0.055555556
2018,"Green Heron",Butorides virescens,7,90.5,0.077348066
2010,"Black-crowned Night-Heron",Nycticorax nycticorax,0,69.5,0
2011,"Black-crowned Night-Heron",Nycticorax nycticorax,0,98.05,0
2012,"Black-crowned Night-Heron",Nycticorax nycticorax,0,98.25,0
2013,"Black-crowned Night-Heron",Nycticorax nycticorax,1,126.3,0.007917656
2014,"Black-crowned Night-Heron",Nycticorax nycticorax,1,62.25,0.016064257
2015,"Black-crowned Night-Heron",Nycticorax nycticorax,0,91,0
2016,"Black-crowned Night-Heron",Nycticorax nycticorax,2,90.8,0.022026432
2017,"Black-crowned Night-Heron",Nycticorax nycticorax,0,90,0
2018,"Black-crowned Night-Heron",Nycticorax nycticorax,1,90.5,0.011049724
2010,"Yellow-crowned Night-Heron",Nyctanassa violacea,0,69.5,0
2011,"Yellow-crowned Night-Heron",Nyctanassa violacea,1,98.05,0.010198878
2012,"Yellow-crowned Night-Heron",Nyctanassa violacea,1,98.25,0.010178117
2013,"Yellow-crowned Night-Heron",Nyctanassa violacea,4,126.3,0.031670625
2014,"Yellow-crowned Night-Heron",Nyctanassa violacea,5,62.25,0.080321285
2015,"Yellow-crowned Night-Heron",Nyctanassa violacea,4,91,0.043956044
2016,"Yellow-crowned Night-Heron",Nyctanassa violacea,5,90.8,0.055066079
2017,"Yellow-crowned Night-Heron",Nyctanassa violacea,2,90,0.022222222
2018,"Yellow-crowned Night-Heron",Nyctanassa violacea,3,90.5,0.033149171
2010,"Boat-billed Heron",Cochlearius cochlearius,1,69.5,0.014388489
2011,"Boat-billed Heron",Cochlearius cochlearius,2,98.05,0.020397756
2012,"Boat-billed Heron",Cochlearius cochlearius,11,98.25,0.111959288
2013,"Boat-billed Heron",Cochlearius cochlearius,11,126.3,0.08709422
2014,"Boat-billed Heron",Cochlearius cochlearius,8,62.25,0.128514056
2015,"Boat-billed Heron",Cochlearius cochlearius,8,91,0.087912088
2016,"Boat-billed Heron",Cochlearius cochlearius,5,90.8,0.055066079
2017,"Boat-billed Heron",Cochlearius cochlearius,6,90,0.066666667
2018,"Boat-billed Heron",Cochlearius cochlearius,2,90.5,0.022099448
2010,"White Ibis",Eudocimus albus,30,69.5,0.431654676
2011,"White Ibis",Eudocimus albus,3,98.05,0.030596634
2012,"White Ibis",Eudocimus albus,37,98.25,0.376590331
2013,"White Ibis",Eudocimus albus,24,126.3,0.190023753
2014,"White Ibis",Eudocimus albus,30,62.25,0.481927711
2015,"White Ibis",Eudocimus albus,23,91,0.252747253
2016,"White Ibis",Eudocimus albus,25,90.8,0.275330396
2017,"White Ibis",Eudocimus albus,53,90,0.588888889
2018,"White Ibis",Eudocimus albus,23,90.5,0.254143646
2010,"Roseate Spoonbill",Platalea ajaja,11,69.5,0.158273381
2011,"Roseate Spoonbill",Platalea ajaja,5,98.05,0.050994391
2012,"Roseate Spoonbill",Platalea ajaja,11,98.25,0.111959288
2013,"Roseate Spoonbill",Platalea ajaja,0,126.3,0
2014,"Roseate Spoonbill",Platalea ajaja,0,62.25,0
2015,"Roseate Spoonbill",Platalea ajaja,1,91,0.010989011
2016,"Roseate Spoonbill",Platalea ajaja,0,90.8,0
2017,"Roseate Spoonbill",Platalea ajaja,3,90,0.033333333
2018,"Roseate Spoonbill",Platalea ajaja,1,90.5,0.011049724
2010,"Black Vulture",Coragyps atratus,72,69.5,1.035971223
2011,"Black Vulture",Coragyps atratus,90,98.05,0.917899031
2012,"Black Vulture",Coragyps atratus,88,98.25,0.8956743
2013,"Black Vulture",Coragyps atratus,102,126.3,0.80760095
2014,"Black Vulture",Coragyps atratus,88,62.25,1.413654618
2015,"Black Vulture",Coragyps atratus,52,91,0.571428571
2016,"Black Vulture",Coragyps atratus,52,90.8,0.572687225
2017,"Black Vulture",Coragyps atratus,62,90,0.688888889
2018,"Black Vulture",Coragyps atratus,118,90.5,1.303867403
2010,"Turkey Vulture",Cathartes aura,41,69.5,0.589928058
2011,"Turkey Vulture",Cathartes aura,39,98.05,0.397756247
2012,"Turkey Vulture",Cathartes aura,55,98.25,0.559796438
2013,"Turkey Vulture",Cathartes aura,95,126.3,0.752177356
2014,"Turkey Vulture",Cathartes aura,67,62.25,1.076305221
2015,"Turkey Vulture",Cathartes aura,58,91,0.637362637
2016,"Turkey Vulture",Cathartes aura,63,90.8,0.693832599
2017,"Turkey Vulture",Cathartes aura,49,90,0.544444444
2018,"Turkey Vulture",Cathartes aura,54,90.5,0.596685083
2010,"King Vulture",Sarcoramphus papa,2,69.5,0.028776978
2011,"King Vulture",Sarcoramphus papa,1,98.05,0.010198878
2012,"King Vulture",Sarcoramphus papa,1,98.25,0.010178117
2013,"King Vulture",Sarcoramphus papa,0,126.3,0
2014,"King Vulture",Sarcoramphus papa,0,62.25,0
2015,"King Vulture",Sarcoramphus papa,2,91,0.021978022
2016,"King Vulture",Sarcoramphus papa,1,90.8,0.011013216
2017,"King Vulture",Sarcoramphus papa,1,90,0.011111111
2018,"King Vulture",Sarcoramphus papa,10,90.5,0.110497238
2010,"Osprey",Pandion haliaetus,3,69.5,0.043165468
2011,"Osprey",Pandion haliaetus,8,98.05,0.081591025
2012,"Osprey",Pandion haliaetus,8,98.25,0.081424936
2013,"Osprey",Pandion haliaetus,12,126.3,0.095011876
2014,"Osprey",Pandion haliaetus,10,62.25,0.16064257
2015,"Osprey",Pandion haliaetus,5,91,0.054945055
2016,"Osprey",Pandion haliaetus,4,90.8,0.044052863
2017,"Osprey",Pandion haliaetus,5,90,0.055555556
2018,"Osprey",Pandion haliaetus,3,90.5,0.033149171
2010,"Pearl Kite",Gampsonyx swainsonii,0,69.5,0
2011,"Pearl Kite",Gampsonyx swainsonii,0,98.05,0
2012,"Pearl Kite",Gampsonyx swainsonii,0,98.25,0
2013,"Pearl Kite",Gampsonyx swainsonii,0,126.3,0
2014,"Pearl Kite",Gampsonyx swainsonii,0,62.25,0
2015,"Pearl Kite",Gampsonyx swainsonii,0,91,0
2016,"Pearl Kite",Gampsonyx swainsonii,0,90.8,0
2017,"Pearl Kite",Gampsonyx swainsonii,4,90,0.044444444
2018,"Pearl Kite",Gampsonyx swainsonii,1,90.5,0.011049724
2010,"White-tailed Kite",Elanus leucurus,0,69.5,0
2011,"White-tailed Kite",Elanus leucurus,0,98.05,0
2012,"White-tailed Kite",Elanus leucurus,3,98.25,0.030534351
2013,"White-tailed Kite",Elanus leucurus,0,126.3,0
2014,"White-tailed Kite",Elanus leucurus,0,62.25,0
2015,"White-tailed Kite",Elanus leucurus,0,91,0
2016,"White-tailed Kite",Elanus leucurus,0,90.8,0
2017,"White-tailed Kite",Elanus leucurus,0,90,0
2018,"White-tailed Kite",Elanus leucurus,2,90.5,0.022099448
2010,"Hook-billed Kite",Chondrohierax uncinatus,0,69.5,0
2011,"Hook-billed Kite",Chondrohierax uncinatus,0,98.05,0
2012,"Hook-billed Kite",Chondrohierax uncinatus,2,98.25,0.020356234
2013,"Hook-billed Kite",Chondrohierax uncinatus,0,126.3,0
2014,"Hook-billed Kite",Chondrohierax uncinatus,0,62.25,0
2015,"Hook-billed Kite",Chondrohierax uncinatus,0,91,0
2016,"Hook-billed Kite",Chondrohierax uncinatus,0,90.8,0
2017,"Hook-billed Kite",Chondrohierax uncinatus,0,90,0
2018,"Hook-billed Kite",Chondrohierax uncinatus,0,90.5,0
2010,"Gray-headed Kite",Leptodon cayanensis,0,69.5,0
2011,"Gray-headed Kite",Leptodon cayanensis,0,98.05,0
2012,"Gray-headed Kite",Leptodon cayanensis,0,98.25,0
2013,"Gray-headed Kite",Leptodon cayanensis,0,126.3,0
2014,"Gray-headed Kite",Leptodon cayanensis,0,62.25,0
2015,"Gray-headed Kite",Leptodon cayanensis,1,91,0.010989011
2016,"Gray-headed Kite",Leptodon cayanensis,0,90.8,0
2017,"Gray-headed Kite",Leptodon cayanensis,0,90,0
2018,"Gray-headed Kite",Leptodon cayanensis,1,90.5,0.011049724
2010,"Snail Kite",Rostrhamus sociabilis,2,69.5,0.028776978
2011,"Snail Kite",Rostrhamus sociabilis,0,98.05,0
2012,"Snail Kite",Rostrhamus sociabilis,0,98.25,0
2013,"Snail Kite",Rostrhamus sociabilis,0,126.3,0
2014,"Snail Kite",Rostrhamus sociabilis,0,62.25,0
2015,"Snail Kite",Rostrhamus sociabilis,0,91,0
2016,"Snail Kite",Rostrhamus sociabilis,0,90.8,0
2017,"Snail Kite",Rostrhamus sociabilis,0,90,0
2018,"Snail Kite",Rostrhamus sociabilis,0,90.5,0
2010,"Double-toothed Kite",Harpagus bidentatus,0,69.5,0
2011,"Double-toothed Kite",Harpagus bidentatus,0,98.05,0
2012,"Double-toothed Kite",Harpagus bidentatus,0,98.25,0
2013,"Double-toothed Kite",Harpagus bidentatus,1,126.3,0.007917656
2014,"Double-toothed Kite",Harpagus bidentatus,0,62.25,0
2015,"Double-toothed Kite",Harpagus bidentatus,2,91,0.021978022
2016,"Double-toothed Kite",Harpagus bidentatus,1,90.8,0.011013216
2017,"Double-toothed Kite",Harpagus bidentatus,1,90,0.011111111
2018,"Double-toothed Kite",Harpagus bidentatus,3,90.5,0.033149171
2010,"Mississippi Kite",Ictinia mississippiensis,0,69.5,0
2011,"Mississippi Kite",Ictinia mississippiensis,0,98.05,0
2012,"Mississippi Kite",Ictinia mississippiensis,0,98.25,0
2013,"Mississippi Kite",Ictinia mississippiensis,0,126.3,0
2014,"Mississippi Kite",Ictinia mississippiensis,0,62.25,0
2015,"Mississippi Kite",Ictinia mississippiensis,0,91,0
2016,"Mississippi Kite",Ictinia mississippiensis,0,90.8,0
2017,"Mississippi Kite",Ictinia mississippiensis,0,90,0
2018,"Mississippi Kite",Ictinia mississippiensis,1,90.5,0.011049724
2010,"Sharp-shinned Hawk",Accipiter striatus,0,69.5,0
2011,"Sharp-shinned Hawk",Accipiter striatus,0,98.05,0
2012,"Sharp-shinned Hawk",Accipiter striatus,0,98.25,0
2013,"Sharp-shinned Hawk",Accipiter striatus,0,126.3,0
2014,"Sharp-shinned Hawk",Accipiter striatus,0,62.25,0
2015,"Sharp-shinned Hawk",Accipiter striatus,0,91,0
2016,"Sharp-shinned Hawk",Accipiter striatus,0,90.8,0
2017,"Sharp-shinned Hawk",Accipiter striatus,0,90,0
2018,"Sharp-shinned Hawk",Accipiter striatus,1,90.5,0.011049724
2010,"Crane Hawk",Geranospiza caerulescens,0,69.5,0
2011,"Crane Hawk",Geranospiza caerulescens,0,98.05,0
2012,"Crane Hawk",Geranospiza caerulescens,2,98.25,0.020356234
2013,"Crane Hawk",Geranospiza caerulescens,0,126.3,0
2014,"Crane Hawk",Geranospiza caerulescens,1,62.25,0.016064257
2015,"Crane Hawk",Geranospiza caerulescens,1,91,0.010989011
2016,"Crane Hawk",Geranospiza caerulescens,1,90.8,0.011013216
2017,"Crane Hawk",Geranospiza caerulescens,3,90,0.033333333
2018,"Crane Hawk",Geranospiza caerulescens,1,90.5,0.011049724
